Country_Region,Date,Cases
Netherlands,1/22/2020,0
China,1/22/2020,17
Germany,1/22/2020,0
Belgium,1/22/2020,0
Iran,1/22/2020,0
United Kingdom,1/22/2020,0
France,1/22/2020,0
Spain,1/22/2020,0
Italy,1/22/2020,0
US,1/22/2020,0
Netherlands,1/23/2020,0
China,1/23/2020,18
Germany,1/23/2020,0
Belgium,1/23/2020,0
Iran,1/23/2020,0
United Kingdom,1/23/2020,0
France,1/23/2020,0
Spain,1/23/2020,0
Italy,1/23/2020,0
US,1/23/2020,0
Netherlands,1/24/2020,0
China,1/24/2020,26
Germany,1/24/2020,0
Belgium,1/24/2020,0
Iran,1/24/2020,0
United Kingdom,1/24/2020,0
France,1/24/2020,0
Spain,1/24/2020,0
Italy,1/24/2020,0
US,1/24/2020,0
Netherlands,1/25/2020,0
China,1/25/2020,42
Germany,1/25/2020,0
Belgium,1/25/2020,0
Iran,1/25/2020,0
United Kingdom,1/25/2020,0
France,1/25/2020,0
Spain,1/25/2020,0
Italy,1/25/2020,0
US,1/25/2020,0
Netherlands,1/26/2020,0
China,1/26/2020,56
Germany,1/26/2020,0
Belgium,1/26/2020,0
Iran,1/26/2020,0
United Kingdom,1/26/2020,0
France,1/26/2020,0
Spain,1/26/2020,0
Italy,1/26/2020,0
US,1/26/2020,0
Netherlands,1/27/2020,0
China,1/27/2020,82
Germany,1/27/2020,0
Belgium,1/27/2020,0
Iran,1/27/2020,0
United Kingdom,1/27/2020,0
France,1/27/2020,0
Spain,1/27/2020,0
Italy,1/27/2020,0
US,1/27/2020,0
Netherlands,1/28/2020,0
China,1/28/2020,131
Germany,1/28/2020,0
Belgium,1/28/2020,0
Iran,1/28/2020,0
United Kingdom,1/28/2020,0
France,1/28/2020,0
Spain,1/28/2020,0
Italy,1/28/2020,0
US,1/28/2020,0
Netherlands,1/29/2020,0
China,1/29/2020,133
Germany,1/29/2020,0
Belgium,1/29/2020,0
Iran,1/29/2020,0
United Kingdom,1/29/2020,0
France,1/29/2020,0
Spain,1/29/2020,0
Italy,1/29/2020,0
US,1/29/2020,0
Netherlands,1/30/2020,0
China,1/30/2020,171
Germany,1/30/2020,0
Belgium,1/30/2020,0
Iran,1/30/2020,0
United Kingdom,1/30/2020,0
France,1/30/2020,0
Spain,1/30/2020,0
Italy,1/30/2020,0
US,1/30/2020,0
Netherlands,1/31/2020,0
China,1/31/2020,213
Germany,1/31/2020,0
Belgium,1/31/2020,0
Iran,1/31/2020,0
United Kingdom,1/31/2020,0
France,1/31/2020,0
Spain,1/31/2020,0
Italy,1/31/2020,0
US,1/31/2020,0
Netherlands,2/1/2020,0
China,2/1/2020,259
Germany,2/1/2020,0
Belgium,2/1/2020,0
Iran,2/1/2020,0
United Kingdom,2/1/2020,0
France,2/1/2020,0
Spain,2/1/2020,0
Italy,2/1/2020,0
US,2/1/2020,0
Netherlands,2/2/2020,0
China,2/2/2020,361
Germany,2/2/2020,0
Belgium,2/2/2020,0
Iran,2/2/2020,0
United Kingdom,2/2/2020,0
France,2/2/2020,0
Spain,2/2/2020,0
Italy,2/2/2020,0
US,2/2/2020,0
Netherlands,2/3/2020,0
China,2/3/2020,425
Germany,2/3/2020,0
Belgium,2/3/2020,0
Iran,2/3/2020,0
United Kingdom,2/3/2020,0
